AFUA_3G06970	AFUA_1G04660
AFUA_3G06170_nca	AFUA_4G03240
AFUA_3G06170	AFUA_8G07290
AFUA_3G06170	AFUA_7G07020
AFUA_3G06170	AFUA_7G06990
AFUA_3G06170	AFUA_6G14700
AFUA_3G06170	AFUA_6G14670
AFUA_3G06170	AFUA_5G15140
AFUA_3G06170	AFUA_5G00470
AFUA_3G06170	AFUA_4G00650
AFUA_3G06170	AFUA_3G06160
AFUA_3G06170	AFUA_1G00810
AFUA_3G06170	AFUA_1G00800
AFUA_3G06170	AFUA_1G00330
AFUA_3G06170	AFUA_1G00320
AFUA_3G05820	AFUA_4G08080
AFUA_3G05760	AFUA_4G11280
AFUA_3G05760	AFUA_4G11270
AFUA_3G05600	AFUA_1G11130
AFUA_3G03900	AFUA_3G03910
AFUA_3G03650	AFUA_3G03670
AFUA_3G03650	AFUA_3G03660
AFUA_3G03650	AFUA_3G03640
AFUA_3G03650	AFUA_3G03430
AFUA_3G03650	AFUA_3G03420
AFUA_3G03650	AFUA_3G03410
AFUA_3G03650	AFUA_1G17180
AFUA_3G03070	AFUA_2G02460
AFUA_3G02590	AFUA_7G08500
AFUA_3G02590	AFUA_7G08280
AFUA_3G02590	AFUA_4G14360
AFUA_3G02590	AFUA_4G09400
AFUA_3G02590	AFUA_4G09390
AFUA_3G02590	AFUA_3G02640
AFUA_3G02590	AFUA_3G02630
AFUA_3G02590	AFUA_3G02610
AFUA_3G02590	AFUA_3G02600
AFUA_3G02590	AFUA_3G02585
AFUA_3G02590	AFUA_3G02580
AFUA_3G02590	AFUA_3G02570
AFUA_3G02590	AFUA_3G02560
AFUA_3G02590	AFUA_1G16150
AFUA_3G02590	AFUA_1G16130
AFUA_3G02590	AFUA_1G16120
AFUA_3G02590	AFUA_1G16110
AFUA_3G02590	AFUA_1G16090
AFUA_3G02590	AFUA_1G16060
AFUA_3G02590	AFUA_1G16050
AFUA_3G02590	AFUA_1G16040
AFUA_3G02590	AFUA_1G16000
AFUA_3G02380	AFUA_8G04510
AFUA_3G02210	AFUA_3G02213
